hb_ratio_mol,hv_ratio_mol,mw_phbv,mn_phbv,pdi,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,spread_speed,young_modulus,tensile_strength,elongation_at_break,tg1,tc1,tm1,td5,dhm1,crystallinity
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,,,,,64.0,174.0,,60.5,46.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,,,,,74.0,148.0,,76.7,60.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,,,,,81.0,172.0,,90.6,69.0
96.6,3.4,,,,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,3.0,,,,,,84.0,172.0,,84.2,66.0
98.0,2.0,,,,no_additive,0.0,no_additive,0.0,,,,,,91.0,166.0,,77.17,52.0
98.0,2.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,,,,,80.0,158.0,,77.01,52.0
98.0,2.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,92.0,164.0,,76.79,51.0
98.0,2.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,,,,,,73.0,156.0,,76.52,51.0
90.0,10.0,,,,no_additive,0.0,no_additive,0.0,,,,,,93.0,155.0,,85.63,79.0
90.0,10.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,,,,,-9.0,66.0,143.0,,72.51,66.0
90.0,10.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,80.0,150.0,,73.71,67.0
90.0,10.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,,,,,,67.0,143.0,,66.49,61.0
82.0,18.0,,,,no_additive,0.0,no_additive,0.0,10.0,600.0,21.0,,-0.8,81.0,147.0,,53.35,49.0
82.0,18.0,,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,10.0,280.0,13.3,30.0,-11.0,93.0,146.0,,49.5,45.0
82.0,18.0,,,,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,10.0,780.0,21.5,,-4.0,94.0,147.0,,54.49,50.0
82.0,18.0,,,,reinforcment_and_stiffening_modifiers,3.0,plasticizers_and_flexibility_enhancers,10.0,10.0,400.0,14.8,,-18.0,99.0,147.0,,44.5,41.0
94.0,6.0,680000.0,,,no_additive,0.0,no_additive,0.0,5.0,458.9512199999999,25.49729,5.3,,28.5,161.0,,65.9,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,5.0,no_additive,0.0,5.0,365.78804499999995,21.57463,5.2,,36.6,160.5,,56.1,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,5.0,357.942725,13.729309999999998,4.3,,39.6,158.2,,58.1,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,5.0,375.59469499999994,11.76798,3.4,,41.7,161.6,,64.5,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,5.0,367.749375,12.748645,2.9,,48.7,158.9,,67.0,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,5.0,no_additive,0.0,5.0,347.15540999999996,23.53596,6.5,,36.2,160.5,,63.6,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,5.0,305.96747999999997,20.593965,6.9,,34.8,160.3,,68.0,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,5.0,261.83755499999995,16.671305,7.2,,39.0,159.5,,61.6,
94.0,6.0,680000.0,,,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,5.0,202.99765499999998,7.84532,7.5,,41.6,159.6,,56.3,
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,10.0,3400.0,37.6,4.9,0.6,,174.0,,88.6,60.7
88.0,12.0,,,,no_additive,0.0,no_additive,0.0,10.0,1200.0,29.5,75.6,-3.8,,168.0,,76.8,52.6
75.0,25.0,,,,no_additive,0.0,no_additive,0.0,10.0,600.0,18.1,87.2,-5.5,,155.0,,67.3,46.1
83.0,17.0,2800000.0,1960000.0,1.43,no_additive,0.0,no_additive,0.0,,1120.0,12.3,,-0.7,61.8,126.1,318.0,,
81.0,19.0,867000.0,798000.0,1.09,no_additive,0.0,no_additive,0.0,,830.0,13.7,,-3.5,107.1,150.9,329.0,,
79.0,21.0,696000.0,645000.0,1.08,no_additive,0.0,no_additive,0.0,,870.0,12.7,,-5.3,104.8,159.7,325.0,,
75.0,25.0,854000.0,752000.0,1.14,no_additive,0.0,no_additive,0.0,,570.0,12.2,,-7.4,80.0,153.8,325.0,,
77.0,23.0,845000.0,796000.0,1.06,no_additive,0.0,no_additive,0.0,,670.0,13.2,,-1.6,64.2,128.6,320.0,,
95.0,5.0,,,,no_additive,0.0,no_additive,0.0,,2610.0,,2.6,5.0,121.9,173.1,,99.9,69.9
98.66,1.34,715166.0,236211.0,3.0276574757314436,no_additive,0.0,no_additive,0.0,,,,,,79.82,169.8,232.0,,
98.66,1.34,715166.0,236211.0,3.0276574757314436,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,,,,,,77.76,169.35,227.0,,
98.66,1.34,715166.0,236211.0,3.0276574757314436,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,,,,,,77.39,169.56,216.0,,
97.5,2.5,280000.0,,,no_additive,0.0,no_additive,0.0,,1252.0,18.1,2.0,,,,276.6,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,2.5,no_additive,0.0,,2884.0,20.6,2.1,,,,264.2,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,5.0,no_additive,0.0,,2632.0,21.3,2.2,,,,265.0,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,10.0,no_additive,0.0,,2261.0,28.3,2.4,,,,245.8,,
97.5,2.5,280000.0,,,biofunctional_and_enviromental_additives,15.0,no_additive,0.0,,1897.0,26.5,2.5,,,,160.8,,
100.0,0.0,825000.0,330000.0,2.5,no_additive,0.0,no_additive,0.0,5.0,1510.4,14.0,2.5,6.1,,169.0,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,25.0,no_additive,0.0,5.0,592.7,7.5,7.5,-4.2,41.8,164.2,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,5.0,374.1,6.3,6.3,-3.6,43.5,163.5,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,35.0,no_additive,0.0,5.0,458.9,5.1,5.1,-2.8,44.5,164.6,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,40.0,no_additive,0.0,5.0,402.8,4.5,4.5,-2.8,44.3,164.9,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,50.0,no_additive,0.0,5.0,,,,-2.4,41.4,165.4,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,5.0,592.7,14.3,3.9,-9.8,27.6,162.9,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,20.0,no_additive,0.0,5.0,374.1,10.2,4.3,-28.5,20.0,159.6,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,25.0,no_additive,0.0,5.0,458.9,9.5,5.4,-29.7,17.6,158.3,,,
100.0,0.0,825000.0,330000.0,2.5,plasticizers_and_flexibility_enhancers,30.0,no_additive,0.0,5.0,402.8,6.1,5.2,-30.7,15.5,156.8,,,
100.0,0.0,223000.0,181300.8130081301,1.23,no_additive,0.0,no_additive,0.0,,,,,3.8,46.6,,,83.3,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,,,,,4.6,46.7,,,83.1,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,,,,,3.8,41.6,,,83.7,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,,,,,4.7,41.2,,,82.3,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,,,,,5.4,,,,84.2,
100.0,0.0,223000.0,181300.8130081301,1.23,reinforcment_and_stiffening_modifiers,30.0,no_additive,0.0,,,,,5.9,,,,80.5,
98.0,2.0,280000.0,,,no_additive,0.0,no_additive,0.0,12.5,2613.5,27.4,1.37,-1.73,78.65,170.53,277.5,95.81,65.35
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,2.5,no_additive,0.0,12.5,2684.9,22.2,1.09,-1.62,82.26,167.8,280.42,91.61,65.78
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,5.0,no_additive,0.0,12.5,2746.5,21.6,0.92,-1.73,76.4,168.81,282.92,95.09,68.28
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,10.0,no_additive,0.0,12.5,2873.1,20.1,0.78,-1.71,75.59,169.06,288.75,84.45,64.01
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,12.5,2670.2,27.3,1.27,-1.72,73.07,168.16,227.08,91.92,63.34
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,1.0,reinforcment_and_stiffening_modifiers,0.25,12.5,2710.9,27.6,1.29,-1.73,77.07,166.31,256.25,90.95,62.85
98.0,2.0,280000.0,,,reinforcment_and_stiffening_modifiers,4.98,reinforcment_and_stiffening_modifiers,0.96,12.5,2863.1,27.8,0.91,-1.77,76.9,167.4,274.17,93.66,67.25
100.0,0.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,172.05,249.6,89.7,61.44
84.0,16.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,150.18,266.6,73.5,50.34
47.0,53.0,,,,no_additive,0.0,no_additive,0.0,,,,,,,101.93,252.3,75.8,51.92
91.0,9.0,23900.0,7587.3015873015875,3.15,no_additive,0.0,no_additive,0.0,10.0,388.27,21.58,4.83,,74.6,173.1,,,65.4
91.0,9.0,23900.0,7587.3015873015875,3.15,reinforcment_and_stiffening_modifiers,0.1,no_additive,0.0,10.0,349.45,21.3,5.71,,81.7,171.1,,,64.3
91.0,9.0,23900.0,7587.3015873015875,3.15,reinforcment_and_stiffening_modifiers,0.3,no_additive,0.0,10.0,291.6,21.44,6.78,,83.7,170.7,,,67.2
91.0,9.0,23900.0,7587.3015873015875,3.15,reinforcment_and_stiffening_modifiers,0.5,no_additive,0.0,10.0,377.18,29.29,7.72,,82.5,169.4,,,69.0
91.0,9.0,23900.0,7587.3015873015875,3.15,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,10.0,348.65,28.57,7.69,,83.4,170.1,,,69.5
91.0,9.0,23900.0,7587.3015873015875,3.15,reinforcment_and_stiffening_modifiers,3.0,no_additive,0.0,10.0,311.41,23.91,6.99,,82.9,169.7,,,67.5
